"cell_tower_id1","cell_tower_id2","source1_name","source2_name","device_name_1","device_name_2","frequency1","frequency2","frequency_band","latitude1","longitude1","latitude2","longitude2","district1","district2","id_1","id_2"
"PO0090","PO0014","Sevanapitiya-PO0090-13G/921-23-ODU-1(RTNRF-1)","Katuwanwila_Etisalat-PO0014-13G/921-23-ODU-1(RTNRF-1)","Sevanapitiya-PO0090-13G/921","Katuwanwila_Etisalat-PO0014-13G/921"," 12,821.00 "," 13,087.00 ",13,7.92588,81.1909,8.03,81.175833,"Polonnaruwa","Polonnaruwa",1,1226
"PO0090","PO0014","Sevanapitiya-PO0090-13G/921-24-ODU-1(RTNRF-1)","Katuwanwila_Etisalat-PO0014-13G/921-24-ODU-1(RTNRF-1)","Sevanapitiya-PO0090-13G/921","Katuwanwila_Etisalat-PO0014-13G/921"," 12,821.00 "," 13,087.00 ",13,7.92588,81.1909,8.03,81.175833,"Polonnaruwa","Polonnaruwa",2,1227
"KU0020","KU0109","Katupotha-KU0020-18G/1665-23-ODU-1(RTNRF-1)","Kirimetiyawa-KU0109-18G/1665-23-ODU-1(RTNRF-1)","Katupotha-KU0020-18G/1665","Kirimetiyawa-KU0109-18G/1665"," 18,737.50 "," 17,727.50 ",18,7.5351,80.1865,7.51227,80.1418,"Kurunegala","Kurunegala",3,1228
"KU0059","KU0144","Mallawapitiya-KU0059-15G/833-23-ODU-1(RTNRF-1)","Welagedara-KU0144-15G/833-23-ODU-1(RTNRF-1)","Mallawapitiya-KU0059-15G/833","Welagedara-KU0144-15G/833"," 14,963.00 "," 14,473.00 ",15,7.47054,80.4049,7.47173,80.4686,"Kurunegala","Kurunegala",4,1229
"KU0059","KU0144","Mallawapitiya-KU0059-15G/833-24-ODU-1(RTNRF-1)","Welagedara-KU0144-15G/833-24-ODU-1(RTNRF-1)","Mallawapitiya-KU0059-15G/833","Welagedara-KU0144-15G/833"," 14,963.00 "," 14,473.00 ",15,7.47054,80.4049,7.47173,80.4686,"Kurunegala","Kurunegala",5,1230
"JA0011","JA0035","Chunnakam_DTP-JA0011-26G/1359-23-ODU-1(RTNRF-1)","Chunnakam_SLT-JA0035-26G/1359-23-ODU-1(RTNRF-1)","Chunnakam_DTP-JA0011-26G/1359","Chunnakam_SLT-JA0035-26G/1359"," 25,071.00 "," 26,079.00 ",26,9.74961,80.0291,9.74531,80.0307,"Jaffna","Jaffna",6,1231
"CM0805","CM0367","Kittanpahuwa-CM0805-26G/547-23-ODU-1(RTNRF-1)","Wennawatta-CM0367-26G/547-23-ODU-1(RTNRF-1)","Kittanpahuwa-CM0805-26G/547","Wennawatta-CM0367-26G/547"," 25,098.50 "," 26,106.50 ",26,6.94591,79.8908,6.94449,79.9042,"Colombo","Colombo",7,1232
"GM0017","GM0257","Imbulgoda-GM0017-23G/1463-23-ODU-1(RTNRF-1)","Katuwalamulla-GM0257-23G/1463-23-ODU-1(RTNRF-1)","Imbulgoda-GM0017-23G/1463","Katuwalamulla-GM0257-23G/1463"," 21,854.00 "," 23,086.00 ",23,7.03469,79.9894,7.034722,79.971389,"Gampaha","Gampaha",8,1233
"GM0017","GM0257","Imbulgoda-GM0017-23G/1463-24-ODU-1(RTNRF-1)","Katuwalamulla-GM0257-23G/1463-24-ODU-1(RTNRF-1)","Imbulgoda-GM0017-23G/1463","Katuwalamulla-GM0257-23G/1463"," 21,854.00 "," 23,086.00 ",23,7.03469,79.9894,7.034722,79.971389,"Gampaha","Gampaha",9,1234
"TR0009","TR0022","Kinniya-TR0009-13G/750-23-ODU-1(RTNRF-1)","Thampalagamam-TR0022-13G/750-23-ODU-1(RTNRF-1)","Kinniya-TR0009-13G/750","Thampalagamam-TR0022-13G/750"," 13,087.00 "," 12,821.00 ",13,8.495833,81.186389,8.501111,81.094722,"Trincomalee","Trincomalee",10,1235
