cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength,frequency1,frequency2,frequency_band
GM0167,GM0576,Biyagama_EPZ-GM0167-26G/1268-24-ODU-1(RTNRF-1),MAS_Intimo_Biyagama_IBS-GM0576-26G/1268-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.953889,6.959444,80.007778,79.949167,curw_IBATTARA2,8.494851477639637,6.908,79.919,533,1758,6.505900787304113," 25,126.50 "," 26,134.50 ",26
CM0165,CM0977,Ratmalana-CM0165-26G/1239-24-ODU-1(RTNRF-1),Huludagoda_Road-CM0977-26G/1239-24-ODU-1(RTNRF-1),Colombo,Colombo,6.83251,6.831111,79.8677,79.873611,curw_IBATTARA2,9.977230913582035,6.908,79.919,1116,2341,0.6714365251025421," 26,134.50 "," 25,126.50 ",26
GM0167,GM0576,Biyagama_EPZ-GM0167-26G/1268-23-ODU-1(RTNRF-1),MAS_Intimo_Biyagama_IBS-GM0576-26G/1268-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.953889,6.959444,80.007778,79.949167,curw_IBATTARA2,8.494851477639637,6.908,79.919,532,1757,6.505900787304113," 25,126.50 "," 26,134.50 ",26
GM0005,GM0311,Biyagama-GM0005-18G/1599-23-ODU-1(RTNRF-1),Ganewatta_Mobitel-GM0311-18G/1599-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.96481,6.950281,80.0093,79.976872,curw_IBATTARA2,9.851619661696516,6.908,79.919,659,1884,3.927201442860413," 18,765.00 "," 17,755.00 ",18
CM0165,CM0977,Ratmalana-CM0165-26G/1239-23-ODU-1(RTNRF-1),Huludagoda_Road-CM0977-26G/1239-23-ODU-1(RTNRF-1),Colombo,Colombo,6.83251,6.831111,79.8677,79.873611,curw_IBATTARA2,9.977230913582035,6.908,79.919,1115,2340,0.6714365251025421," 26,134.50 "," 25,126.50 ",26
GM0005,GM0311,Biyagama-GM0005-18G/1599-24-ODU-1(RTNRF-1),Ganewatta_Mobitel-GM0311-18G/1599-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.96481,6.950281,80.0093,79.976872,curw_IBATTARA2,9.851619661696516,6.908,79.919,660,1885,3.927201442860413," 18,765.00 "," 17,755.00 ",18
CM0156,CM0721,Mt_Lavinia-CM0156-23G/1449-23-ODU-1(RTNRF-1),Mt_Lavinia_Hotel_Ind-CM0721-23G/1449-23-ODU-1(RTNRF-1),Colombo,Colombo,6.84257,6.83317,79.8669,79.8619,curw_IBATTARA2,9.826891149216236,6.908,79.919,254,1479,1.1773250940052395," 23,086.00 "," 21,854.00 ",23
CM0156,CM0721,Mt_Lavinia-CM0156-23G/1449-24-ODU-1(RTNRF-1),Mt_Lavinia_Hotel_Ind-CM0721-23G/1449-24-ODU-1(RTNRF-1),Colombo,Colombo,6.84257,6.83317,79.8669,79.8619,curw_IBATTARA2,9.826891149216236,6.908,79.919,255,1480,1.1773250940052395," 23,086.00 "," 21,854.00 ",23
CM0156,CM0338,Mt_Lavinia-CM0156-26G/1207-23-ODU-1(RTNRF-1),Watarappola-CM0338-26G/1207-23-ODU-1(RTNRF-1),Colombo,Colombo,6.84257,6.83911,79.8669,79.8708,curw_IBATTARA2,9.267497874794278,6.908,79.919,908,2133,0.5764033323188705," 26,050.50 "," 25,042.50 ",26
GM0034,GM0206,Mawaramandiya-GM0034-26G/1373-23-ODU-1(RTNRF-1),Makola_South-GM0206-26G/1373-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,6.98275,79.9757,79.967583,curw_ambatale,6.034428666815838,6.935762,79.947458,812,2037,0.9937985541167553, / , / ,26
GM0022,GM0127,Kadawatha-GM0022-18G/602-24-ODU-1(RTNRF-1),Kadawatha_North-GM0127-18G/602-24-ODU-1(RTNRF-1),Gampaha,Gampaha,7.00115,7.02531,79.9452,79.9638,curw_ambatale,8.602502938227927,6.935762,79.947458,892,2117,3.3708408495145346," 18,737.50 "," 17,727.50 ",18
GM0034,GM0235,Mawaramandiya-GM0034-18G/518-24-ODU-1(RTNRF-1),Weboda_South-GM0235-18G/518-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,6.999,79.9757,80.0061,curw_ambatale,7.927667451200561,6.935762,79.947458,931,2156,3.627404845105741," 17,755.00 "," 18,765.00 ",18
GM0126,GM0319,Kadawatha_South-GM0126-18G/808-24-ODU-1(RTNRF-1),Gonahena_East-GM0319-18G/808-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.99,6.99601,79.9575,79.9917,curw_ambatale,7.005100891935366,6.935762,79.947458,82,1307,3.8369972333483418," 18,765.00 "," 17,755.00 ",18
GM0034,GM0492,Mawaramandiya_Dialog-GM0034-23G/1660-23-ODU-1(RTNRF-1),Gonahena_Reloc-GM0492-23G/1660-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,7.003333,79.9757,79.978333,curw_ambatale,7.317959951807188,6.935762,79.947458,911,2136,1.8710608745836403," 23,114.00 "," 21,882.00 ",23
GM0042,GM0190,Ragama-GM0042-23G/581-24-ODU-1(RTNRF-1),Kurukulawa-GM0190-23G/581-24-ODU-1(RTNRF-1),Gampaha,Gampaha,7.03004,7.01456,79.9243,79.9285,curw_ambatale,9.84911541976814,6.935762,79.947458,759,1984,1.773728073505036," 23,086.00 "," 21,854.00 ",23
GM0005,GM0150,Biyagama-GM0005-18G/1356-24-ODU-1(RTNRF-1),Mapitigama-GM0150-18G/1356-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.96481,6.92638,80.0093,80.0428,curw_ambatale,8.752945176316068,6.935762,79.947458,942,2167,5.636255381430076," 18,765.00 "," 17,755.00 ",18
GM0042,GM0190,Ragama-GM0042-23G/581-23-ODU-1(RTNRF-1),Kurukulawa-GM0190-23G/581-23-ODU-1(RTNRF-1),Gampaha,Gampaha,7.03004,7.01456,79.9243,79.9285,curw_ambatale,9.84911541976814,6.935762,79.947458,758,1983,1.773728073505036," 23,086.00 "," 21,854.00 ",23
GM0034,GM0359,Mawaramandiya-GM0034-23G/1439-23-ODU-1(RTNRF-1),Siyambalape_North-GM0359-23G/1439-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,6.9825,79.9757,79.9889,curw_ambatale,6.629277812720026,6.935762,79.947458,604,1829,1.5280941368078234," 23,086.00 "," 21,854.00 ",23
GM0118,GM0113,Malwana-GM0118-18G/875-23-ODU-1(RTNRF-1),Dekatana-GM0113-18G/875-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95196,6.97406,80.0225,80.0383,curw_ambatale,9.64831964745926,6.935762,79.947458,268,1493,3.0036266266063745," 17,782.50 "," 18,792.50 ",18
GM0034,GM0359,Mawaramandiya-GM0034-23G/1439-24-ODU-1(RTNRF-1),Siyambalape_North-GM0359-23G/1439-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,6.9825,79.9757,79.9889,curw_ambatale,6.629277812720026,6.935762,79.947458,605,1830,1.5280941368078234," 23,086.00 "," 21,854.00 ",23
GM0034,GM0235,Mawaramandiya-GM0034-18G/518-23-ODU-1(RTNRF-1),Weboda_South-GM0235-18G/518-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,6.999,79.9757,80.0061,curw_ambatale,7.927667451200561,6.935762,79.947458,930,2155,3.627404845105741," 17,755.00 "," 18,765.00 ",18
GM0126,GM0693,Kadawatha South Dialog-GM0126-23G/1657-23-ODU-1(RTNRF-1),Kadawatha_Town_North-GM0693-23G/1657-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.99,7.010658,79.9575,79.957789,curw_ambatale,7.228683214557597,6.935762,79.947458,141,1366,2.284807297396566," 21,882.00 "," 23,114.00 ",23
GM0034,GM0492,Mawaramandiya_Dialog-GM0034-23G/1660-24-ODU-1(RTNRF-1),Gonahena_Reloc-GM0492-23G/1660-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,7.003333,79.9757,79.978333,curw_ambatale,7.317959951807188,6.935762,79.947458,912,2137,1.8710608745836403," 23,114.00 "," 21,882.00 ",23
GM0126,GM0319,Kadawatha_South-GM0126-18G/808-23-ODU-1(RTNRF-1),Gonahena_East-GM0319-18G/808-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.99,6.99601,79.9575,79.9917,curw_ambatale,7.005100891935366,6.935762,79.947458,81,1306,3.8369972333483418," 18,765.00 "," 17,755.00 ",18
GM0034,GM0152,Mawaramandiya-GM0034-18G/1070-23-ODU-1(RTNRF-1),Weboda-GM0152-18G/1070-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98662,7.01538,79.9757,79.9951,curw_ambatale,8.3445019656683,6.935762,79.947458,279,1504,3.8355168821777768," 17,782.50 "," 18,792.50 ",18
