cell_tower_id1,cell_tower_id2,source1_name,source2_name,device_name_1,device_name_2,frequency1,frequency2,frequency_band,latitude1,longitude1,latitude2,longitude2,district1,district2,id_1,id_2,nearest_precip_station,nearest_precip_lat,nearest_precip_long,distance,PathLength
CM0805,CM0367,Kittanpahuwa-CM0805-26G/547-23-ODU-1(RTNRF-1),Wennawatta-CM0367-26G/547-23-ODU-1(RTNRF-1),Kittanpahuwa-CM0805-26G/547,Wennawatta-CM0367-26G/547," 25,098.50 "," 26,106.50 ",26.0,6.9459100000000005,79.8908,6.944489999999999,79.9042,Colombo,Colombo,7.0,1232.0,curw_orugodawatta,6.943741,79.87886999999999,2.0650815464109975,1.4891116517355512
CM0027,CM0302,Grandpass-CM0027-26G/838-24-ODU-1(RTNRF-1),Cyril_C_Perera_Mw-CM0302-26G/838-24-ODU-1(RTNRF-1),Grandpass-CM0027-26G/838,Cyril_C_Perera_Mw-CM0302-26G/838," 26,064.50 "," 25,056.50 ",26.0,6.94608,79.8699,6.94584,79.8651,Colombo,Colombo,14.0,1239.0,curw_orugodawatta,6.943741,79.87886999999999,1.2802176613190446,0.5311014688298169
GM0040,GM0655,Peliyagoda DBN-GM0040-26G/1309-23-ODU-1(RTNRF-1),Peliyagoda junction relocation-GM0655-26G/1309-23-ODU-1(RTNRF-1),Peliyagoda DBN-GM0040-26G/1309,Peliyagoda junction relocation-GM0655-26G/1309," 25,042.50 "," 26,050.50 ",26.0,6.963239999999999,79.8831,6.955,79.883889,Gampaha,Gampaha,20.0,1245.0,curw_orugodawatta,6.943741,79.87886999999999,1.7758898712980145,0.9154278655434236
CM0050,CM0903,Kolonnawa-CM0050-23G/862-24-ODU-1(RTNRF-1),Uswatta_Rd-CM0903-23G/862-24-ODU-1(RTNRF-1),Kolonnawa-CM0050-23G/862,Uswatta_Rd-CM0903-23G/862," 21,854.00 "," 23,086.00 ",23.0,6.9337800000000005,79.8875,6.95125,79.8949,Colombo,Colombo,462.0,1687.0,curw_orugodawatta,6.943741,79.87886999999999,1.3692994567825654,2.0979572001800846
CM0050,CM0793,Kolonnawa-CM0050-26G/597-23-ODU-1(RTNRF-1),Kolonnawa_North-CM0793-26G/597-23-ODU-1(RTNRF-1),Kolonnawa-CM0050-26G/597,Kolonnawa_North-CM0793-26G/597," 25,994.50 "," 24,986.50 ",26.0,6.9337800000000005,79.8875,6.9383,79.8857,Colombo,Colombo,560.0,1785.0,curw_orugodawatta,6.943741,79.87886999999999,1.2062507645807934,0.5379939173386122
CM0260,CM1094,Kala traders-CM0260-23G/1599-24-ODU-1(RTNRF-1),CPC_HO_IBS-CM1094-23G/1599-24-ODU-1(RTNRF-1),Kala traders-CM0260-23G/1599,CPC_HO_IBS-CM1094-23G/1599," 23,198.00 "," 21,966.00 ",23.0,6.928056,79.876111,6.938333,79.877778,Colombo,Colombo,587.0,1812.0,curw_orugodawatta,6.943741,79.87886999999999,1.1855938872434963,1.1513715788363725
CM0302,CM1043,Cyril_C_Perera_Mw-CM0302-26G/778-24-ODU-1(RTNRF-1),Jethawana_Rd-CM1043-26G/778-24-ODU-1(RTNRF-1),Cyril_C_Perera_Mw-CM0302-26G/778,Jethawana_Rd-CM1043-26G/778," 25,014.50 "," 26,022.50 ",26.0,6.94584,79.8651,6.94422,79.8666,Colombo,Colombo,679.0,1904.0,curw_orugodawatta,6.943741,79.87886999999999,1.4458618383466961,0.24407824345675205
CM0050,CM1054,Kolonnawa-CM0050-18G/1446-24-ODU-1(RTNRF-1),Stace_Rd_Reloc-CM1054-18G/1446-24-ODU-1(RTNRF-1),Kolonnawa-CM0050-18G/1446,Stace_Rd_Reloc-CM1054-18G/1446," 18,737.50 "," 17,727.50 ",18.0,6.9337800000000005,79.8875,6.945556,79.874444,Colombo,Colombo,683.0,1908.0,curw_orugodawatta,6.943741,79.87886999999999,0.5068039646871771,1.943636189737238
CM0050,CM0633,Kolonnawa-CM0050-26G/690-24-ODU-1(RTNRF-1),Kolonnawa_Town-CM0633-26G/690-24-ODU-1(RTNRF-1),Kolonnawa-CM0050-26G/690,Kolonnawa_Town-CM0633-26G/690," 26,134.00 "," 25,126.00 ",26.0,6.9337800000000005,79.8875,6.93295,79.8938,Colombo,Colombo,796.0,2021.0,curw_orugodawatta,6.943741,79.87886999999999,1.7353436839837582,0.7022429547264984
CM0050,CM0348,Kolonnawa-CM0050-26G/1177-24-ODU-1(RTNRF-1),Salamulla-CM0348-26G/1177-24-ODU-1(RTNRF-1),Kolonnawa-CM0050-26G/1177,Salamulla-CM0348-26G/1177," 26,078.50 "," 25,070.50 ",26.0,6.9337800000000005,79.8875,6.929167,79.894444,Colombo,Colombo,815.0,2040.0,curw_orugodawatta,6.943741,79.87886999999999,1.9050359344438776,0.921490404823135
